Category: All categories

Week,APL: (Worldwide)
2019-03-10,72
2019-03-17,67
2019-03-24,70
2019-03-31,82
2019-04-07,71
2019-04-14,65
2019-04-21,72
2019-04-28,64
2019-05-05,66
2019-05-12,69
2019-05-19,72
2019-05-26,71
2019-06-02,64
2019-06-09,69
2019-06-16,65
2019-06-23,69
2019-06-30,79
2019-07-07,71
2019-07-14,74
2019-07-21,68
2019-07-28,71
2019-08-04,69
2019-08-11,66
2019-08-18,72
2019-08-25,76
2019-09-01,75
2019-09-08,77
2019-09-15,72
2019-09-22,71
2019-09-29,69
2019-10-06,69
2019-10-13,66
2019-10-20,67
2019-10-27,60
2019-11-03,75
2019-11-10,72
2019-11-17,68
2019-11-24,68
2019-12-01,69
2019-12-08,73
2019-12-15,69
2019-12-22,61
2019-12-29,68
2020-01-05,77
2020-01-12,77
2020-01-19,72
2020-01-26,71
2020-02-02,76
2020-02-09,71
2020-02-16,69
2020-02-23,67
2020-03-01,69
2020-03-08,64
2020-03-15,50
2020-03-22,49
2020-03-29,54
2020-04-05,58
2020-04-12,70
2020-04-19,67
2020-04-26,60
2020-05-03,75
2020-05-10,64
2020-05-17,66
2020-05-24,78
2020-05-31,72
2020-06-07,72
2020-06-14,75
2020-06-21,77
2020-06-28,80
2020-07-05,85
2020-07-12,76
2020-07-19,74
2020-07-26,82
2020-08-02,66
2020-08-09,75
2020-08-16,70
2020-08-23,73
2020-08-30,74
2020-09-06,73
2020-09-13,63
2020-09-20,67
2020-09-27,76
2020-10-04,67
2020-10-11,90
2020-10-18,80
2020-10-25,67
2020-11-01,63
2020-11-08,60
2020-11-15,65
2020-11-22,80
2020-11-29,64
2020-12-06,62
2020-12-13,59
2020-12-20,52
2020-12-27,68
2021-01-03,100
2021-01-10,79
2021-01-17,75
2021-01-24,74
2021-01-31,82
2021-02-07,70
2021-02-14,65
2021-02-21,63
2021-02-28,66
2021-03-07,64
2021-03-14,61
2021-03-21,57
2021-03-28,62
2021-04-04,62
2021-04-11,62
2021-04-18,58
2021-04-25,61
2021-05-02,61
2021-05-09,60
2021-05-16,59
2021-05-23,57
2021-05-30,62
2021-06-06,58
2021-06-13,59
2021-06-20,62
2021-06-27,61
2021-07-04,57
2021-07-11,55
2021-07-18,58
2021-07-25,66
2021-08-01,66
2021-08-08,59
2021-08-15,62
2021-08-22,65
2021-08-29,66
2021-09-05,67
2021-09-12,73
2021-09-19,69
2021-09-26,67
2021-10-03,64
2021-10-10,60
2021-10-17,62
2021-10-24,61
2021-10-31,55
2021-11-07,53
2021-11-14,59
2021-11-21,54
2021-11-28,62
2021-12-05,56
2021-12-12,57
2021-12-19,53
2021-12-26,58
2022-01-02,65
2022-01-09,57
2022-01-16,59
2022-01-23,65
2022-01-30,68
2022-02-06,60
2022-02-13,65
2022-02-20,63
2022-02-27,61
2022-03-06,69
2022-03-13,68
2022-03-20,64
2022-03-27,65
2022-04-03,69
2022-04-10,67
2022-04-17,67
2022-04-24,66
2022-05-01,69
2022-05-08,78
2022-05-15,64
2022-05-22,62
2022-05-29,63
2022-06-05,64
2022-06-12,64
2022-06-19,66
2022-06-26,77
2022-07-03,74
2022-07-10,70
2022-07-17,72
2022-07-24,70
2022-07-31,73
2022-08-07,67
2022-08-14,77
2022-08-21,77
2022-08-28,81
2022-09-04,72
2022-09-11,71
2022-09-18,68
2022-09-25,69
2022-10-02,67
2022-10-09,63
2022-10-16,64
2022-10-23,59
2022-10-30,59
2022-11-06,64
2022-11-13,60
2022-11-20,63
2022-11-27,66
2022-12-04,58
2022-12-11,62
2022-12-18,51
2022-12-25,58
2023-01-01,72
2023-01-08,68
2023-01-15,67
2023-01-22,64
2023-01-29,71
2023-02-05,67
2023-02-12,64
2023-02-19,66
2023-02-26,68
2023-03-05,67
2023-03-12,63
2023-03-19,64
2023-03-26,69
2023-04-02,65
2023-04-09,60
2023-04-16,66
2023-04-23,65
2023-04-30,65
2023-05-07,63
2023-05-14,60
2023-05-21,61
2023-05-28,68
2023-06-04,74
2023-06-11,72
2023-06-18,70
2023-06-25,78
2023-07-02,77
2023-07-09,79
2023-07-16,76
2023-07-23,73
2023-07-30,67
2023-08-06,67
2023-08-13,63
2023-08-20,81
2023-08-27,76
2023-09-03,68
2023-09-10,67
2023-09-17,64
2023-09-24,70
2023-10-01,69
2023-10-08,61
2023-10-15,62
2023-10-22,62
2023-10-29,61
2023-11-05,69
2023-11-12,59
2023-11-19,62
2023-11-26,67
2023-12-03,66
2023-12-10,59
2023-12-17,66
2023-12-24,59
2023-12-31,68
2024-01-07,64
2024-01-14,60
2024-01-21,65
2024-01-28,73
2024-02-04,69
2024-02-11,63
2024-02-18,63
2024-02-25,60
